ID,Creation time,Notes,Dev Internal,Name,Blocked,Regression,Story points,Owner,Phase,Severity,Sprint
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=133954"",""133954"")",Sun Aug 21 08:00:00 UTC 2016,,No,"[Chrome Emulator, GWT]WebButton("" "").click script is missed when recording on dialog box",No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=136640"",""136640"")",Sun Dec 20 08:00:00 UTC 2015,,No,[Chrome Emulator]Html Report does not get precise snapshot,No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138894"",""138894"")",Tue Dec 29 08:00:00 UTC 2015,,No,"[Chrome Emulator, WebArea,Record] Extra script is recorded when click WebArea object in Emulator mode",No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138892"",""138892"")",Tue Dec 29 08:00:00 UTC 2015,,No,"[Chrome Emulator, WebCheckbox,Record] Set the state of  WebCheckBox can not be recorded when recording in emulator mode",No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=141475"",""141475"")",Tue Jan 26 08:00:00 UTC 2016,,No,"[Chrome Emulator, WebNumber, Record] Set number manually can not be recorded when recording on webNumber",No,Legacy Feature Regression,1,Jerry Yin,Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138253"",""138253"")",Wed Apr 19 08:00:00 UTC 2017,,No,"Nothing is recorded on a ""enter a password"" operation in React UX Password field",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=136018"",""136018"")",Mon Aug 22 08:00:00 UTC 2016,,No,[Edge] DojoFilterComboBox.Set method rizes error message,No,New Feature,1,'Yun-Sheng Liu',Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=140117"",""140117"")",Tue Sep 27 08:00:00 UTC 2016,,No,"[Edge, Dojo,  Replay] cannot replay Dojo test on Edge successful [Reviewed in 14.01]",No,New Feature,1,Roman Ukhov,Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=363069"",""363069"")",Tue Jan 07 14:41:10 UTC 2020,,No,'[QA Validation] Safari 13 validation - Sanity - 14.53 patch 5',No,,0,Jie Zhang (Sagi),New,,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=137800"",""137800"")",Sun Dec 27 08:00:00 UTC 2015,,No,'Dev Internal - All code related to isTouchSupported should be removed after defect #25613 is fixed',Yes,,1,Jack Zhao,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=140439"",""140439"")",Sun Aug 13 08:00:00 UTC 2017,,No,Duplicate WebArea.link step is recorded when recording on hybrid or web application in Android.,No,Escaped Defect,1,'Yun-Sheng Liu',Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=136933"",""136933"")",Tue Dec 29 08:00:00 UTC 2015,,No,[HTML/RRV report] No highlight for screenshot in HTML/RRV report.,No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=135346"",""135346"")",Sun Jul 31 08:00:00 UTC 2016,,No,[MC] [WP] UFT engine doesn't record on CNN website,No,,1,,Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=135820"",""135820"")",Thu Nov 26 08:00:00 UTC 2015,,No,"[Mobile][UFT Integration] Other technology(web, std etc) cannot be recorded until the mobile device is ready.",No,,1,,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=136399"",""136399"")",Sun Dec 13 08:00:00 UTC 2015,,No,'[UFT Defect] ICBC - Money input box can't be recording in IOS',No,,1,,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=129056"",""129056"")",Tue Sep 29 08:00:00 UTC 2015,,No,"[UFT Defect][SAP][Android/iOS] The  steps record reversely,when remove from one SAP object to another.",No,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=130147"",""130147"")",Thu Oct 15 08:00:00 UTC 2015,,No,'[UFT Defect][SAP] - Fiori - pdf file in SAPUIList is recorded when opened but not replayed',No,,1,,Done,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=129418"",""129418"")",Tue May 24 08:00:00 UTC 2016,,No,'[UFT][Gestures][IOS][Hybrid] pan not recording on Hybrid IOS App - see attachment',No,,1,,Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=127161"",""127161"")",Tue May 24 08:00:00 UTC 2016,,No,'[UFT][Gestures][IOS][Hybrid] scroll not recording on Hybrid IOS App - see attachment',No,,1,,Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138058"",""138058"")",Wed Aug 24 08:00:00 UTC 2016,,No,[I18N]Text in Terminal Emulator Configuration Wizard is shifted on APJ systems,No,,1,,Rejected,Low,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=141385"",""141385"")",Mon Jan 11 08:00:00 UTC 2016,,No,FL as Solution: the exception throws when associate the second FL from Solution to Test [Reviewed in 14.01],No,,1,Bo Tian,Done,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=137347"",""137347"")",Mon Sep 05 08:00:00 UTC 2016,,No,"[Insight, Chrome]Browser operation can not be recorded in ""Insight Recording"" mode",No,,1,,Rejected,High,
